rank,name,kind,L,src,score_extra,dist_extra,n_near_extra,score_epi,dist_epi,n_near_epi
85,apt_01876,ss,50,mcts,-275.04,2.92653686120644,51,-267.46,2.4164331151513316,29
86,apt_00077,ss,50,mcts,-267.21,2.603037648594427,59,-267.21,3.403224941140401,34
87,apt_00166,ss,55,mcts,-267.2,2.54326050572883,51,-267.2,2.54326050572883,31
88,apt_01983,ss,51,mcts,-267.18,2.4116562773330745,41,-267.18,2.4116562773330745,26
89,apt_02753,ss,50,mcts,-266.91,2.384740027759846,44,-266.91,2.384740027759846,29
90,apt_01026,ss,50,mcts,-266.89,3.24048283439367,59,-266.89,6.039112683167955,42
91,apt_02432,ss,54,mcts,-266.74,2.2085499767947447,45,-266.74,2.7906873705236075,23
92,apt_02597,ss,55,mcts,-266.71,2.5257541448050764,42,-266.71,2.5257541448050764,21
93,apt_02696,ss,55,mcts,-266.62,1.7216242331008222,42,-266.62,3.0260662583624973,31
94,apt_01955,ss,53,mcts,-266.3,2.642098029975428,50,-266.3,3.524141455730748,28
95,apt_02755,ss,50,mcts,-266.27,1.9035107039362886,43,-266.27,1.9035107039362886,28
96,apt_01587,ss,52,mcts,-266.05,2.0275672615230316,45,-266.05,4.312541362120479,28
97,apt_02615,ss,50,mcts,-266.02,2.5358692789653023,52,-266.02,3.557462438311891,32
98,apt_00372,ss,50,mcts,-265.98,2.1163806368420532,35,-265.98,3.5231653381582877,19
99,apt_01341,ss,50,mcts,-265.77,2.215505359957403,39,-265.77,2.215505359957403,20
100,apt_02285,ss,50,mcts,-265.34,2.791852968907927,52,-265.34,6.122765469949012,34
101,apt_01195,ss,50,mcts,-265.28,1.9534305720961915,53,-265.28,3.9659500753287475,38
102,apt_01070,ss,50,mcts,-265.23,2.26369034984912,41,-265.23,3.9834979603358613,25
103,apt_02587,ss,54,mcts,-265.04,3.1097337506609746,49,-265.04,5.8758191769318415,30
104,apt_00695,ss,53,mcts,-273.14,3.9809145934069043,48,-265.03,2.844715099970487,19
105,apt_00565,ss,50,mcts,-264.96,3.1233837420336377,34,-264.96,4.700437639199148,20
106,apt_01186,ss,50,mcts,-264.96,2.1301537503194377,45,-264.96,3.0326209786255927,29
107,apt_02356,ss,51,mcts,-264.87,2.3619521587026258,43,-264.87,2.857376594010663,24
108,apt_01065,ss,50,mcts,-264.8,3.2068168017521654,41,-264.8,5.094399375785137,14
109,apt_00083,ss,50,mcts,-264.71,1.2225326171517978,52,-264.71,1.2225326171517978,40
110,apt_00797,ss,50,mcts,-264.35,2.739529521651478,44,-264.35,5.944435381093812,19
111,apt_00576,ss,50,mcts,-264.23,2.9063630193078067,34,-264.23,4.358917755590265,22
112,apt_02555,ss,51,mcts,-264.03,2.190095203410122,48,-264.03,5.122095079164384,27
113,apt_00290,ss,51,mcts,-263.87,1.6626948006173718,37,-263.87,2.2007239717874585,24
114,apt_01999,ss,50,mcts,-263.79,3.226864422314639,45,-263.79,5.008138177007497,27
115,apt_00521,ss,50,mcts,-263.64,2.830002650175446,31,-263.64,2.853652571705245,21
116,apt_02270,ss,55,mcts,-263.56,2.535183425316588,42,-263.56,2.7075993056580523,28
117,apt_00669,ss,50,mcts,-263.35,2.610753722586632,38,-263.35,6.082075468127634,23
118,apt_00188,ss,50,mcts,-263.31,3.0834730418799037,34,-263.31,4.6339674146458965,19
119,apt_00327,ss,50,mcts,-263.19,3.008552309666566,41,-263.19,5.815173514178225,21
120,apt_02264,ss,50,mcts,-262.76,3.2017509272271556,50,-262.76,3.5633927653291373,30
121,apt_02094,ss,50,mcts,-262.16,2.9872104043739514,51,-262.16,3.556294279161954,36
122,apt_00219,ss,50,mcts,-261.83,5.799803013896247,36,-261.83,6.882285158288639,22
123,apt_00702,ss,50,mcts,-261.72,2.502410437957755,36,-261.72,6.153282538613032,17
124,apt_01939,ss,50,mcts,-261.72,2.7165192802555103,54,-261.72,6.769334236097384,36
125,apt_02666,ss,50,mcts,-261.71,2.3901667305859498,51,-261.71,5.596268131531945,31
126,apt_00838,ss,54,mcts,-261.63,0.6459612991503387,49,-261.63,0.6459612991503387,27
127,apt_02100,ss,50,mcts,-262.72,6.538731451894924,47,-261.48,2.762060462770507,25
128,apt_00778,ss,50,mcts,-261.27,2.820034751558934,34,-261.27,6.891792292285099,22
129,apt_02046,ss,55,mcts,-261.26,3.0171995293649347,42,-261.26,4.542607180903946,26
130,apt_01971,ss,50,mcts,-261.23,1.8647560162123258,44,-261.23,2.931869710611303,30
